unique_key,complaint_type,complaint_description,owning_department,source,status,status_change_date,created_date,last_update_date,close_date,incident_address,street_number,street_name,city,incident_zip,county,state_plane_x_coordinate,state_plane_y_coordinate,latitude,longitude,location,council_district_code,map_page,map_tile
16-,,,,,,,,,,,,,,,,,,,,,,,
14-00097246,ACDEADBI,Dead Bird,Animal Services Office,Phone,Closed,2014-05-21 14:18:20 UTC,2014-05-21 12:13:57 UTC,2014-05-21 13:20:26 UTC,2014-05-21 14:18:20 UTC,"BARTON SPRINGS RD &S 1ST ST, AUSTIN, TX",,BARTON SPRINGS RD &S 1ST ST,AUSTIN,78704,TRAVIS,3112101.75,10067179.0,30.25838165,-97.75007215,"(30.25838165, -97.75007215)",9,615A,MJ21
16-00125960,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-05-25 13:07:15 UTC,2016-05-24 21:41:22 UTC,2016-05-25 12:07:31 UTC,2016-05-25 13:07:15 UTC,"1215 DELANO ST, AUSTIN, TX 78721",1215,DELANO,AUSTIN,,,3134663.24798805,10073569.0003938,30.27448616,-97.6781494,"(30.27448616, -97.6781494)",,,
16-00287195,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-10-29 16:59:00 UTC,2016-10-29 12:01:21 UTC,2016-10-29 15:59:19 UTC,2016-10-29 16:59:00 UTC,"2207 LEAH CV, AUSTIN, TX 78748",2207,LEAH,AUSTIN,,,3088450.75244673,10037011.0028274,30.17694153,-97.8271166,"(30.17694153, -97.8271166)",,,
16-00287017,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-10-29 16:22:51 UTC,2016-10-29 06:30:14 UTC,2016-10-29 15:23:09 UTC,2016-10-29 16:22:51 UTC,"607 BLUEBERRY HILL, AUSTIN, TX 78745",607,BLUEBERRY HILL,AUSTIN,,,3101726.75,10046477.0,30.20213293,-97.78442704,"(30.20213293, -97.78442704)",,,MG16
16-00287018,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-10-29 16:13:49 UTC,2016-10-29 06:30:20 UTC,2016-10-29 15:14:07 UTC,2016-10-29 16:13:49 UTC,"902 SIROCCO DR, AUSTIN, TX 78745",902,SIROCCO,AUSTIN,,,3100020.50224563,10046864.0004859,30.20330411,-97.78979875,"(30.20330411, -97.78979875)",,,MG16
16-00287019,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Duplicate (closed),2016-10-29 06:30:22 UTC,2016-10-29 06:30:22 UTC,2016-10-29 15:14:08 UTC,2016-10-29 06:30:22 UTC,"904 SIROCCO DR, AUSTIN, TX 78745",904,SIROCCO,AUSTIN,,,3099980.50105781,10046904.0016738,30.20341658,-97.78992245,"(30.20341658, -97.78992245)",,,MG17
16-00287114,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2016-10-29 14:19:19 UTC,2016-10-29 10:28:07 UTC,2016-10-29 13:19:37 UTC,2016-10-29 14:19:19 UTC,"14720 LIPTON LN, PFLUGERVILLE, TX 78660",14720,LIPTON,PFLUGERVILLE,,,3147891.81833236,10127044.7992656,30.42060509,-97.63214218,"(30.42060509, -97.63214218)",,,
16-00287156,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-10-29 17:14:04 UTC,2016-10-29 11:26:26 UTC,2016-10-29 16:14:23 UTC,2016-10-29 17:14:04 UTC,"1520 RUTHERFORD LN, AUSTIN, TX 78754",1520,RUTHERFORD,AUSTIN,,,3133220.45999999,10096590.77,30.33786336,-97.68097994,"(30.33786336, -97.68097994)",,,
17-00164959,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2017-06-25 11:17:16 UTC,2017-06-14 17:48:26 UTC,2017-06-25 11:17:15 UTC,2017-06-25 11:17:16 UTC,1726 E 32ND ST,,1726 E 32ND ST,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
18-00388384,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-01-10 11:34:22 UTC,2018-11-12 09:57:49 UTC,2019-01-10 11:34:22 UTC,2019-01-10 11:34:22 UTC,"PAMELA DR & SCARLET ST, AUSTIN, TX",,PAMELA DR & SCARLET ST,AUSTIN,,,3135555.99765578,10138185.9972891,30.45204785,-97.67042245,"(30.45204785, -97.67042245)",,,
19-00006042,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-01-07 13:06:21 UTC,2019-01-06 15:56:05 UTC,2019-01-07 13:06:21 UTC,2019-01-07 13:06:21 UTC,URAY DR,,URAY DR,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
19-00004359,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-01-05 14:48:35 UTC,2019-01-04 18:09:59 UTC,2019-01-05 14:47:46 UTC,2019-01-05 14:48:35 UTC,CABOB ST,,CABOB ST,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
19-00005342,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-01-07 13:42:14 UTC,2019-01-05 18:15:14 UTC,2019-01-07 13:42:14 UTC,2019-01-07 13:42:14 UTC,MEADOW CREST,,MEADOW CREST,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
19-00005750,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-01-07 13:24:09 UTC,2019-01-06 11:10:42 UTC,2019-01-07 13:24:09 UTC,2019-01-07 13:24:09 UTC,FLOURNOY DR,,FLOURNOY DR,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
19-00005518,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-01-06 10:52:38 UTC,2019-01-05 23:45:38 UTC,2019-01-06 10:52:38 UTC,2019-01-06 10:52:38 UTC,OAK CREEK DR,,OAK CREEK DR,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
19-00006028,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-01-07 13:45:16 UTC,2019-01-06 15:41:06 UTC,2019-01-07 13:45:16 UTC,2019-01-07 13:45:16 UTC,STILES CV,,STILES CV,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
19-00005637,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2019-01-07 13:36:32 UTC,2019-01-06 08:52:29 UTC,2019-01-07 13:36:32 UTC,2019-01-07 13:36:32 UTC,MERRITT DR,,MERRITT DR,,,,0.00000000,0.0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
16-00124970,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-03-18 12:32:09 UTC,2016-05-24 07:18:09 UTC,2019-03-18 12:32:09 UTC,2019-03-18 12:32:09 UTC,"8703 FM 969 RD, AUSTIN, TX 78725",8703,969,AUSTIN,,,3147745.24754437,10074262.0000932,30.27552589,-97.63666623,"(30.27552589, -97.63666623)",,,
15-00135254,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-03-18 12:32:08 UTC,2015-06-16 12:27:11 UTC,2019-03-18 12:32:09 UTC,2019-03-18 12:32:08 UTC,"8703 FM 969 RD 11, AUSTIN, TX",8703,969,AUSTIN,,,3147791.95687169,10074383.8172765,30.27585762,-97.63650895,"(30.27585762, -97.63650895)",,,
16-00241246,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-03-18 12:32:08 UTC,2016-09-14 08:03:47 UTC,2019-03-18 12:32:08 UTC,2019-03-18 12:32:08 UTC,"8703 FM 969 RD, AUSTIN, TX 78725",8703,969,AUSTIN,,,3147745.24754437,10074262.0000932,30.27552589,-97.63666623,"(30.27552589, -97.63666623)",,,
15-00025334,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-12-07 09:55:00 UTC,2015-02-06 10:34:00 UTC,2018-12-07 09:55:00 UTC,2018-12-07 09:55:00 UTC,"9345 E US 290 HWY EB, AUSTIN, TX",9345,290,AUSTIN,,,3145457.159,10093864.02,30.32956006,-97.64241058,"(30.32956006, -97.64241058)",,,
17-00135640,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-05-23 11:25:39 UTC,2017-05-22 17:23:58 UTC,2017-05-23 11:25:39 UTC,2017-05-23 11:25:39 UTC,"ROCK CLIFF DR & FAWN DR, LEANDER, TX 78641",,ROCK CLIFF DR & FAWN DR,leander,78641,TRAVIS,3035748.94045823,10189889.9195766,30.60036004,-97.9836451,"(30.60036004, -97.9836451)",,309K,WW50
17-00310963,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2017-10-17 11:41:47 UTC,2017-10-17 11:41:47 UTC,2017-10-17 11:41:47 UTC,,14808 ROCK CLIFF DR TX 78641,14808,ROCK CLIFF,,78641,TRAVIS,3035443.76297416,10189743.2374352,30.59997454,-97.98462476,"(30.59997454, -97.98462476)",,309K,WW50
18-00016670,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-02-01 14:48:18 UTC,2018-01-18 16:48:24 UTC,2018-02-01 13:48:23 UTC,2018-02-01 14:48:18 UTC,24802 ANDERSON TRL TX 78641,24802,ANDERSON,,78641,TRAVIS,3040088.50298000,10188578.9986256,30.59650358,-97.96994299,"(30.59650358, -97.96994299)",,309L,WX50
18-00030943,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-02-02 07:52:05 UTC,2018-02-01 13:33:43 UTC,2018-02-02 07:52:05 UTC,2018-02-02 07:52:05 UTC,24802 ANDERSON TRL TX 78641,24802,ANDERSON,,78641,TRAVIS,3040088.50298000,10188578.9986256,30.59650358,-97.96994299,"(30.59650358, -97.96994299)",,309L,WX50
15-00126060,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2015-06-06 11:33:57 UTC,2015-06-06 11:33:57 UTC,2015-06-06 11:33:57 UTC,,25302 RANCH RD TX,25302,RANCH,OTHER,78641,TRAVIS,3036407.22407355,10187150.0142143,30.59278982,-97.98173724,"(30.59278982, -97.98173724)",,309P,WW50
16-00026699,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-02-05 13:28:00 UTC,2016-02-05 09:23:00 UTC,2016-02-05 12:27:00 UTC,2016-02-05 13:28:00 UTC,"14709 QUAIL CT, LEANDER, TX 78641",14709,QUAIL,LEANDER,78641,TRAVIS,3040184.751,10186276.0,30.59016705,-97.96979266,"(30.59016705, -97.96979266)",,309Q,WX50
19-00291644,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-08-02 13:23:13 UTC,2019-08-01 09:51:53 UTC,2019-08-02 13:23:13 UTC,2019-08-02 13:23:13 UTC,"14709 QUAIL CT, AUSTIN, TX 78641",14709,QUAIL,AUSTIN,78641,TRAVIS,3040184.75064446,10186275.997778,30.59016704,-97.96979266,"(30.59016704, -97.96979266)",,309Q,WX50
18-00359876,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-10-23 10:45:00 UTC,2018-10-23 09:18:00 UTC,2018-10-23 10:45:00 UTC,2018-10-23 10:45:00 UTC,"15107 CHAPARRAL DR, AUSTIN, TX 78641",15107,CHAPARRAL,AUSTIN,78641,TRAVIS,3041775.002,10187610.0,30.59374119,-97.96464929,"(30.59374119, -97.96464929)",,309R,WX50
18-00365041,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-10-27 16:29:00 UTC,2018-10-26 10:02:00 UTC,2018-10-27 16:29:00 UTC,2018-10-27 16:29:00 UTC,"15102 CHAPARRAL DR, AUSTIN, TX 78641",15102,CHAPARRAL,AUSTIN,78641,TRAVIS,3041569.364,10187529.46,30.59353183,-97.96530819,"(30.59353183, -97.96530819)",,309R,WX50
18-00407277,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-11-29 15:09:00 UTC,2018-11-29 10:25:00 UTC,2018-11-29 15:09:00 UTC,2018-11-29 15:09:00 UTC,"15107 CHAPARRAL DR, LEANDER, TX 78641",15107,CHAPARRAL,Leander,78641,TRAVIS,3041612.147,10187540.07,30.59355848,-97.96517152,"(30.59355848, -97.96517152)",,309R,WX50
18-00408404,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-11-30 15:38:00 UTC,2018-11-30 07:30:00 UTC,2018-11-30 15:38:00 UTC,2018-11-30 15:38:00 UTC,"15107 CHAPARRAL DR, AUSTIN, TX 78641",15107,CHAPARRAL,AUSTIN,78641,TRAVIS,3041775.002,10187610.0,30.59374119,-97.96464929,"(30.59374119, -97.96464929)",,309R,WX50
19-00220396,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2019-06-13 09:01:47 UTC,2019-06-13 09:01:47 UTC,2019-06-14 23:00:05 UTC,,"15107 CHAPARRAL DR, AUSTIN, TX 78641",15107,CHAPARRAL,AUSTIN,78641,TRAVIS,3041775.00155622,10187609.9974037,30.59374119,-97.96464929,"(30.59374119, -97.96464929)",,309R,WX50
16-00065575,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-04-14 09:04:37 UTC,2016-03-23 09:41:56 UTC,2016-04-14 08:03:04 UTC,2016-04-14 09:04:37 UTC,"25601 RIVER FERN CT, LEANDER, TX 78641",25601,RIVER FERN,LEANDER,78641,TRAVIS,3033587.04133326,10184302.278977,30.585125,-97.99088936,"(30.585125, -97.99088936)",,309S,WW49
16-00216818,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-08-22 15:38:42 UTC,2016-08-22 08:49:04 UTC,2016-08-22 14:41:20 UTC,2016-08-22 15:38:42 UTC,"14009 LAYNE LOOP, LEANDER, TX 78641",14009,LAYNE,LEANDER,78641,TRAVIS,3036029.63190266,10184779.1977731,30.5862944,-97.98309628,"(30.5862944, -97.98309628)",,309T,WW49
16-00311681,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-11-30 11:58:21 UTC,2016-11-29 09:43:37 UTC,2016-11-30 11:58:21 UTC,2016-11-30 11:58:21 UTC,14209 LAYNE LOOP TX 78641,14209,LAYNE,,78641,TRAVIS,3036643.60889627,10185338.4443995,30.58779608,-97.98110783,"(30.58779608, -97.98110783)",,309T,WW49
16-00212221,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-08-18 09:23:57 UTC,2016-08-17 09:55:57 UTC,2016-08-18 08:24:17 UTC,2016-08-18 09:23:57 UTC,"14009 LAYNE LOOP, LEANDER, TX 78641",14009,LAYNE,LEANDER,78641,TRAVIS,3036029.63190266,10184779.1977731,30.5862944,-97.98309628,"(30.5862944, -97.98309628)",,309T,WW49
14-00243734,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-11-12 12:23:15 UTC,2014-11-10 07:03:50 UTC,2014-11-12 11:25:38 UTC,2014-11-12 12:23:15 UTC,13817 LONG HOLLOW LOOP TX,13817,LONG HOLLOW,OTHER,78641,TRAVIS,3035295.52929199,10184035.2840068,30.584292,-97.98547874,"(30.584292, -97.98547874)",,309T,WW49
14-00231177,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-10-27 12:58:49 UTC,2014-10-26 08:57:17 UTC,2014-10-27 12:01:09 UTC,2014-10-27 12:58:49 UTC,13817 LONG HOLLOW LOOP TX,13817,LONG HOLLOW,OTHER,78641,TRAVIS,3035295.52929199,10184035.2840068,30.584292,-97.98547874,"(30.584292, -97.98547874)",,309T,WW49
14-00228601,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-10-25 08:07:49 UTC,2014-10-23 09:55:24 UTC,2014-10-25 07:10:08 UTC,2014-10-25 08:07:49 UTC,13817 LONG HOLLOW LOOP TX,13817,LONG HOLLOW,OTHER,78641,TRAVIS,3035295.52929199,10184035.2840068,30.584292,-97.98547874,"(30.584292, -97.98547874)",,309T,WW49
14-00174564,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-08-25 21:07:00 UTC,2014-08-19 11:08:00 UTC,2014-08-25 20:09:00 UTC,2014-08-25 21:07:00 UTC,13817 LONG HOLLOW LOOP TX,13817,LONG HOLLOW,OTHER,78641,TRAVIS,3035295.529,10184035.28,30.584292,-97.98547874,"(30.584292, -97.98547874)",,309T,WW49
14-00214595,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-10-22 11:58:47 UTC,2014-10-06 16:39:14 UTC,2014-10-22 11:01:05 UTC,2014-10-22 11:58:47 UTC,14100 LAYNE LOOP TX,14100,LAYNE,OTHER,78641,TRAVIS,3036159.28903429,10185277.5646044,30.58765687,-97.98265084,"(30.58765687, -97.98265084)",,309T,WW49
15-00100884,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-06-11 08:26:17 UTC,2015-05-13 06:48:18 UTC,2015-06-11 07:29:22 UTC,2015-06-11 08:26:17 UTC,14107 ROCK CLIFF DR TX,14107,ROCK CLIFF,OTHER,78641,TRAVIS,3035454.94421307,10185606.4721713,30.58860194,-97.98486681,"(30.58860194, -97.98486681)",,309T,WW49
14-00091206,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-05-21 17:23:36 UTC,2014-05-13 16:00:53 UTC,2014-05-21 16:25:43 UTC,2014-05-21 17:23:36 UTC,14201 LAYNE LOOP TX,14201,LAYNE,OTHER,78641,TRAVIS,3036607.79877977,10185357.4149633,30.58785032,-97.98122034,"(30.58785032, -97.98122034)",,309T,WW49
15-00251497,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-10-22 08:27:03 UTC,2015-10-21 16:11:21 UTC,2015-10-22 07:27:02 UTC,2015-10-22 08:27:03 UTC,"14104 JOYCE DR, OTHER, TX 78641",14104,JOYCE,OTHER,78641,TRAVIS,3036322.33155,10184855.1376304,30.58648615,-97.98216115,"(30.58648615, -97.98216115)",,309T,WW49
17-00046425,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,,,,,"25504 RIVER FERN CT, LEANDER, TX 78641",25504,RIVER FERN,LEANDER,78641,TRAVIS,3034010.502,10184916.0,30.58678759,-97.98950277,"(30.58678759, -97.98950277)",,309T,WW49
17-00215009,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-07-27 10:10:29 UTC,2017-07-27 06:53:15 UTC,2017-07-27 10:10:29 UTC,2017-07-27 10:10:29 UTC,LONG HOLLOW LOOP & ROCK CLIFF DR TX 78641,,LONG HOLLOW LOOP & ROCK CLIFF DR,,78641,TRAVIS,3034698.98056088,10184429.7383046,30.58541096,-97.98734775,"(30.58541096, -97.98734775)",,309T,WW49
